175;PU203a;La demande d'enlèvement a été annulée. Aucune action requise.
176;PU203b;Impossible d'annuler l'enlèvement. Le statut de l'enlèvement est désormais en suspens
177;PU204;Impossible d'annuler l'enlèvement. Il ne s'agit pas d'un enlèvement programmé
178;PU205a;Impossible d'annuler l'enlèvement. Les informations sont incorrectes. Pour annuler l'enlèvement, veuillez appeler votre Service Clients
179;PU205b;L'enlèvement n'a PAS été annulé. Le service d'enlèvement ne peut pas traiter cette demande. Pour annuler un enlèvement programmé, veuillez contacter votre Service Clients DHL
180;PU300;Erreur système ! Impossible de programmer d'enlèvement. Pour programmer un enlèvement, veuillez contacter votre Service Support Technique DHL
181;PU301;Erreur système ! Impossible de programmer d'enlèvement. Pour programmer un enlèvement, veuillez contacter votre Service Support Technique DHL
182;PU302;Erreur système ! Impossible de programmer d'enlèvement. Pour programmer un enlèvement, veuillez contacter votre Service Support Technique DHL
183;PU303;Service d'enlèvement actuellement indisponible. Veuillez réessayer ultérieurement ou contacter notre support technique
184;PU306;[PU306] Vous avez programmé un enlèvement en dehors des heures ouvrables. Veuillez choisir un créneau ouvrable.
185;PU307;[PU307] Votre demande d'enlèvement n'a PAS été programmée. Les colis doivent être prêts 1 heure minimum avant la fermeture de votre entreprise et 2 heures avant pour les particuliers
186;PU308;[PU308] votre demande d'enlèvement n'a PAS été programmée car l'horaire choisi est trop proche de la fermeture de votre bureau. Merci de changer l'horaire ou la date d'enlèvement et de valider votre demande
187;PU901;L'enlèvement ne peut PAS être programmé. Impossible de déterminer un itinéraire.  Pour obtenir de l'aide, veuillez contacter votre Service Clients DHL.
188;PU902;L'enlèvement n'a PAS été programmé. Derniers enlèvements indisponibles. Veuillez contacter votre Service Clients DHL.
189;PU903;L'enlèvement ne peut pas être programmé. Session indisponible. Veuillez réessayer. Si le problème persiste, veuillez contacter votre Service Clients DHL
190;PU904;L'enlèvement ne peut PAS être modifié, veuillez contacter votre Service Clients DHL
191;PU905;L'enlèvement ne peut PAS être programmé. Aucune date disponible durant les jours fériés.  Pour obtenir de l'aide, veuillez contacter votre Service Clients DHL.
192;PU908;L'enlèvement n'a PAS été annulé. Pour plus d'info, veuillez contacter votre Service Clients DHL.
193;PU909;L'enlèvement ne peut PAS être programmé. Données de fuseau horaire indisponible. Veuillez contacter votre Service Clients DHL
194;PU910;Le système de réservation est surchargé, veuillez réessayer plus tard.
195;PU911;Le système de réservation est temporairement indisponible. Veuillez contacter votre Service Clients pour finaliser votre réservation
196;PU912;Compte régional et compte pays non sychronisés.
197;PU913;La date à laquelle vous souhaitez programmer l'enlèvement est déjà passée.
198;PU914;Un ou plusieurs champs sont vides ou incorrects
199;RA001;Le système n'a pas été en mesure d'estimer le tarif pour votre expédition.
200;RA002;Impossible d'estimer le tarif avec les coordonnées données. Veuillez les corriger et valider. Appelez notre service support technique si besoin.
201;RA003;Le système n'a pas été en mesure d'estimer les frais pour votre expédition. Pour obtenir de l'aide, veuillez contacter votre Service Clients DHL
202;RA004;Le compte expéditeur ou facturation est incorrect ou n'est pas autorisé pour ce type de demande. Veuillez changer de compte et réessayer.
203;RA005;Le code du pays destinataire est invalide. Veuillez contacter votre support technique.
204;RA006;Les tarifs de votre compte ne sont pas disponibles ici. Pour obtenir vos tarifs spéciaux, veuillez contacter votre Service Commercial DHL ou appeler votre support technique.
205;RA007;Nous ne sommes pas en mesure de desservir ce code postal. Pour obtenir de l'aide, veuillez contacter votre Service Clients DHL
206;RA008;Impossible d'estimer le tarif pour ce pays. Veuillez contacter notre service support technique.
207;RA009;Impossible d'estimer le tarif pour ce pays. Veuillez contacter notre service support technique.
208;RA010;Impossible d'estimer le tarif pour ce pays. Veuillez contacter notre service support technique.
209;RA011;Impossible d'estimer le tarif pour ce pays. Veuillez contacter notre service support technique.
210;RA012;Le poids du colis dépasse les limites autorisés pour le pays indiqué. Veuillez contacter votre Service Clients DHL
211;RA013;Le poids total de l'expédition dépasse la limite autorisée par le pays destinataire. Veuillez contacter votre Service Clients.
212;RA014;Attention ! Les dimensions ou le poids peuvent nécessiter un traitement spécial ou demander un délai de livraison plus important. Veuillez contacter contacter votre Service Clients
213;RA015;"L'expédition n'est pas acceptée pour ""Transport Collect"". Les frais d'expédition n'ont pas été déterminé. Veillez contacter votre Service Clients DHL"
214;RA016;Le service n'est pas disponible. Veuillez nous excuser pour la gêne occasionnée et réessayer plus tard.
215;RA017;Les services TDD/Jumbo/Junior Jumbo ne doivent pas être utilisés en conjonction avec les numéros de compte 95/96
216;RA018;Système défaillant. Veuillez contacter votre Service Clients DHL
217;RA019;Zone choisie incorrecte
218;RA020;Votre compte est pas valide ou ne convient pas à cet usage.
219;RA021;Code de produit local/global non valide
220;RA022;Poids ou données indiquées non corrects
221;RA023;Valeur indiquée pour l'assurance non valide
222;RA024;Code de la devise non valide
223;RA025;Code de facturation pour le service spécial non valide
224;RA026;Surcharges non autorisées pour cette zone
225;RA027;La zone n'a pas d'assurance minimum, les frais n'ont pas été calculés
226;RA028;L'assurance n'est pas configurée dans les paramètre du système.
227;RA029;Compte/Contrat/Assurance Produit non trouvée
228;RA030;Surcharge non autorisée
229;RA031;Aucune surchage produit configurée dans le compte / système
230;RA032;Le tarif ne peut être estimé pour cette combinaison de code produit, lieux d'enlèvement et de destination
231;RA033;La devise de l'assurance est invalide pour cette zone
232;RA034;Le système n'a pas été en mesure d'estimer les frais pour votre expédition.
233;RA035;Surcharge de poids non autorisée pour le secteur
234;RA036;Format de code postal absent pour le pays.
235;RA037;Aucune surchage configurée
236;RA038;Aucune surcharge poids configurée
